Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions,Completed Work Items,Lock Contentions,Gen0,Allocated
Coordinate:OrderBy(),Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,"**NEW**,Value Type",1024,17.42 ns,0.085 ns,0.075 ns,0.020 ns,17.42 ns,17.31 ns,17.35 ns,17.47 ns,17.56 ns,"57,405,060.8495",0.0849 ns,14.00,1.947,2.000,0.3308,1,*,No,445 B,0.0000,0.0000,0.0000,0.0006,56 B
Coordinate:OrderBy(),Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,"**NEW**,Value Type",2048,17.60 ns,0.370 ns,0.346 ns,0.089 ns,17.47 ns,17.27 ns,17.39 ns,17.64 ns,18.42 ns,"56,829,786.2606",0.3696 ns,15.00,3.540,2.000,1.3874,1,*,No,445 B,0.0000,0.0000,0.0000,0.0006,56 B
Coordinate:OrderBy(),Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,"**NEW**,Value Type",4096,17.83 ns,0.159 ns,0.148 ns,0.038 ns,17.86 ns,17.48 ns,17.76 ns,17.94 ns,18.01 ns,"56,080,811.6643",0.1586 ns,15.00,2.660,2.000,-0.8181,1,*,No,445 B,0.0000,0.0000,0.0000,0.0006,56 B
Coordinate:OrderBy(),Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,"**NEW**,Value Type",8192,17.78 ns,0.375 ns,0.401 ns,0.095 ns,17.53 ns,17.35 ns,17.43 ns,18.19 ns,18.33 ns,"56,227,398.5868",0.3749 ns,18.00,1.014,3.600,0.1969,1,*,No,445 B,0.0000,0.0000,0.0000,0.0006,56 B
GenerateAddressRecordCollection,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,64,"2,994,584.04 ns","18,362.913 ns","16,278.244 ns","4,350.544 ns","2,994,903.12 ns","2,962,976.56 ns","2,986,860.35 ns","3,005,665.82 ns","3,025,367.19 ns",333.9362,"18,362.9126 ns",14.00,2.296,2.000,-0.1430,13,*,No,"1,073 B",0.0000,0.0000,0.0000,0.0000,156058 B
GenerateAddressRecordCollection,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,128,"5,794,686.36 ns","47,930.377 ns","40,024.036 ns","11,100.670 ns","5,793,047.66 ns","5,719,652.34 ns","5,780,028.91 ns","5,817,324.22 ns","5,860,919.53 ns",172.5719,"47,930.3770 ns",13.00,2.076,2.000,-0.2919,14,*,No,"1,073 B",0.0000,0.0000,0.0000,0.0000,260816 B
GenerateAddressRecordCollection,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,256,"11,313,596.30 ns","87,095.849 ns","81,469.511 ns","21,035.337 ns","11,299,049.22 ns","11,183,180.47 ns","11,263,722.66 ns","11,366,985.16 ns","11,465,336.72 ns",88.3892,"87,095.8486 ns",15.00,1.902,2.000,0.0306,15,*,No,"1,073 B",0.0000,0.0000,0.0000,0.0000,468993 B
GenerateAddressRecordCollection,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,512,"23,079,209.27 ns","188,961.533 ns","176,754.735 ns","45,637.876 ns","23,036,420.31 ns","22,863,351.56 ns","22,953,526.56 ns","23,207,710.94 ns","23,424,257.81 ns",43.3290,"188,961.5331 ns",15.00,1.861,2.000,0.5178,16,*,No,"1,073 B",0.0000,0.0000,0.0000,0.0000,885930 B
GenerateAddressRecordCollection,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,1024,"45,726,875.00 ns","394,363.296 ns","349,592.790 ns","93,432.603 ns","45,737,170.83 ns","45,036,725.00 ns","45,564,937.50 ns","45,900,093.75 ns","46,406,883.33 ns",21.8690,"394,363.2964 ns",14.00,2.629,2.000,0.0533,19,*,No,"1,073 B",0.0000,0.0000,0.0000,0.0000,1724794 B
GenerateAddressRecordCollection,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,2048,"90,856,822.62 ns","612,544.271 ns","543,004.542 ns","145,124.068 ns","90,841,358.33 ns","89,756,066.67 ns","90,591,091.67 ns","91,237,600.00 ns","91,645,616.67 ns",11.0063,"612,544.2715 ns",14.00,2.115,2.000,-0.2308,22,*,No,"1,073 B",0.0000,0.0000,0.0000,0.0000,3397372 B
