Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Gen0,Code Size,Completed Work Items,Lock Contentions,Allocated
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,64,"42,771.8 ns",184.21 ns,172.31 ns,44.49 ns,"42,518.7 ns","42,669.3 ns","42,752.8 ns","42,870.6 ns","43,064.3 ns","23,379.9",184.209 ns,15.00,1.898,2.000,0.2707,15,*,No,0.0000,0.2441,516 B,65.1295,0.0001,24.81 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,128,"79,983.1 ns",311.65 ns,291.52 ns,75.27 ns,"79,486.6 ns","79,811.7 ns","80,037.4 ns","80,119.1 ns","80,419.6 ns","12,502.6",311.651 ns,15.00,1.856,2.000,-0.4172,19,*,No,0.0000,0.4883,516 B,130.0978,0.0001,49.01 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,256,"159,339.9 ns",792.00 ns,740.84 ns,191.28 ns,"158,036.9 ns","159,006.1 ns","159,198.6 ns","159,860.5 ns","160,908.0 ns","6,275.9",792.001 ns,15.00,2.441,2.000,0.3338,23,*,No,0.0000,0.9766,516 B,259.3608,0.0000,97.14 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,512,"317,961.3 ns","1,852.38 ns","1,732.71 ns",447.39 ns,"314,664.5 ns","316,703.4 ns","318,636.2 ns","319,269.7 ns","320,384.8 ns","3,145.0","1,852.377 ns",15.00,1.767,2.000,-0.4672,27,*,No,0.0000,1.9531,516 B,519.7236,0.0000,193.25 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,1024,"609,514.9 ns","2,717.11 ns","2,408.65 ns",643.74 ns,"605,586.7 ns","607,553.2 ns","609,601.4 ns","611,477.1 ns","613,259.4 ns","1,640.6","2,717.108 ns",14.00,1.647,2.000,-0.1503,29,*,No,0.0000,3.9063,516 B,1039.8008,0.0000,385.43 KB
'Write & Read Async: IEnumerable',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,2048,"1,186,264.8 ns","4,020.58 ns","3,760.86 ns",971.05 ns,"1,180,795.8 ns","1,183,535.4 ns","1,186,846.0 ns","1,188,572.8 ns","1,193,176.9 ns",843.0,"4,020.585 ns",15.00,1.863,2.000,0.2640,32,*,No,0.0000,7.8125,516 B,2082.0234,0.0000,769.32 KB
'Write & Read Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,16,"14,234.4 ns",90.97 ns,80.64 ns,21.55 ns,"14,075.0 ns","14,181.5 ns","14,256.9 ns","14,289.9 ns","14,354.3 ns","70,252.4",90.966 ns,14.00,1.913,2.000,-0.4051,11,*,No,0.0000,0.0610,517 B,16.2885,0.0141,7.03 KB
'Write & Read Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,32,"23,193.8 ns",156.61 ns,146.49 ns,37.82 ns,"22,946.2 ns","23,067.0 ns","23,233.1 ns","23,283.4 ns","23,433.7 ns","43,114.9",156.607 ns,15.00,1.746,2.000,-0.1475,12,*,No,0.0000,0.1221,517 B,32.5479,0.0001,12.52 KB
'Write & Read Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,64,"43,079.1 ns",174.78 ns,163.49 ns,42.21 ns,"42,764.5 ns","42,967.7 ns","43,034.5 ns","43,219.7 ns","43,297.7 ns","23,213.1",174.782 ns,15.00,1.710,2.000,-0.2224,15,*,No,0.0000,0.2441,517 B,65.1088,0.0000,24.76 KB
'Write & Read Async',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests.Collections.Threading,Async,128,"83,199.5 ns",455.84 ns,426.40 ns,110.10 ns,"82,501.5 ns","82,821.2 ns","83,380.8 ns","83,486.0 ns","83,780.0 ns","12,019.3",455.844 ns,15.00,1.460,2.000,-0.3461,20,*,No,0.0000,0.4883,517 B,130.0074,0.0001,48.93 KB
